,target,value_count
287,don't,33
288,together,33
289,face,33
290,So,33
291,change,33
292,shown,33
293,THE,33
294,Now,33
295,Rome,33
296,lead,33
297,system,32
298,child,32
299,tremble,32
300,done,32
301,Hahnemann,32
302,fact,32
303,once,31
304,war,31
305,enough,31
306,heard,31
307,given,31
308,priest,31
309,set,31
310,believed,31
311,high,31
312,de,31
313,world,31
314,among,31
315,early,31
316,another,30
317,past,30
318,looked,30
319,things,30
320,seems,30
321,head,30
322,seemed,30
323,film,30
324,written,30
325,'m,30
326,am,30
327,near,30
328,heart,30
329,case,30
330,fine,30
331,power,30
332,Then,30
333,England,29
334,having,29
335,letter,29
336,sent,29
337,Macmillan,29
338,'re,29
339,water,29
340,probably,29
341,symptoms,29
342,help,29
343,understand,29
344,Pearl,29
345,conference,28
346,week,28
347,doing,28
348,human,28
349,Europe,28
350,arrived,28
351,use,28
352,called,28
353,less,28
354,whether,28
355,towns,28
356,President,28
357,character,28
358,doctor,28
359,story,27
360,effect,27
361,method,27
362,By,27
363,knew,27
364,until,27
365,important,27
366,asking,27
367,Commons,27
368,half,27
369,health,26
370,bring,26
371,added,26
372,felt,26
373,development,26
374,public,26
375,rather,26
376,play,26
377,mother,26
378,usual,26
379,earth,26
380,France,26
381,around,26
382,table,26
383,body,26
384,able,26
385,writing,26
386,love,26
387,large,26
388,turned,25
389,themselves,25
390,write,25
391,anything,25
392,already,25
393,No,25
394,American,25
395,look,25
396,certain,25
397,industry,25
398,does,25
399,room,25
400,These,25
401,John,25
402,All,25
403,success,25
404,evening,24
405,house,24
406,advice,24
407,returned,24
408,death,24
409,easily,24
410,month,24
411,side,24
412,Northern,24
413,free,24
414,five,24
415,notice,23
416,why,23
417,wife,23
418,Rhodesia,23
419,big,23
420,1,23
421,prepared,23
422,thing,23
423,opened,23
424,meeting,23
425,agree,23
426,present,23
427,school,23
428,Duke,23
429,different,23
430,tired,23
431,necessary,23
432,medical,23
433,aged,22
434,situation,22
435,R.,22
436,means,22
437,'ve,22
438,movement,22
439,met,22
440,possible,22
441,shops,22
442,United,22
443,along,22
444,live,22
445,party,22
446,sense,22
447,search,22
448,food,21
449,troops,21
450,Commonwealth,21
451,pleasant,21
452,gave,21
453,fear,21
454,cure,21
455,Gay,21
456,matter,21
457,tell,21
458,Kennedy,21
459,clear,21
460,Roy,21
461,show,21
462,peace,21
463,towards,21
464,boy,21
465,form,21
466,particularly,21
467,soon,21
468,round,21
469,air,20
470,history,20
471,Samuel,20
472,fire,20
473,mistaken,20
474,real,20
475,looking,20
476,women,20
477,married,20
478,Francis,20
479,Party,20
480,herself,20
481,bus,20
482,saying,20
483,late,20
484,held,20
485,evidence,20
486,eye,20
487,rest,20
488,money,20
489,deal,20
490,extraordinary,20
491,therefore,20
492,Her,20
493,alone,20
494,followed,20
495,busy,20
496,numerous,20
497,temporary,20
498,behind,20
499,painful,20
500,saw,20
501,answer,20
502,remarkable,20
503,carried,20
504,Nigel,20
505,surface,20
506,established,19
507,Italian,19
508,nuclear,19
509,became,19
510,didn't,19
511,delighted,19
512,piece,19
513,view,19
514,idea,19
515,increasing,19
516,event,19
517,Federal,19
518,tried,19
519,false,19
520,pots,19
521,journey,19
522,miles,19
523,After,19
524,appears,19
525,meet,19
526,studied,19
527,Secretary,19
528,beyond,19
529,charming,19
530,problems,19
531,hoped,19
532,led,19
533,family,19
534,offer,19
535,mean,19
536,treated,19
537,further,19
538,others,18
539,season,18
540,Mr,18
541,living,18
542,wondered,18
543,On,18
544,sailing,18
545,rain,18
546,service,18
547,temperature,18
548,energetic,18
549,gentle,18
550,leave,18
551,With,18
552,position,18
553,whose,18
554,considered,18
555,May,18
556,open,18
557,second,18
558,main,18
559,question,18
560,enjoy,18
561,despair,18
562,began,18
563,master,18
564,control,18
565,light,18
566,happens,18
567,English,18
568,consulted,18
569,forward,18
570,winter,18
571,Gavin,18
572,national,18
573,easy,18
574,often,17
575,enjoyed,17
576,support,17
577,diplomatist,17
578,medicine,17
579,permitted,17
580,during,17
581,making,17
582,moment,17
583,feel,17
584,believe,17
585,likely,17
586,Personally,17
587,hands,17
588,Vesuvius,17
589,People,17
590,trial,17
591,fall,17
592,myself,17
593,gives,17
594,truly,17
595,central,17
596,corporations,17
597,cultivated,17
598,heavy,17
599,None,17
600,ago,17
601,founder,17
602,proved,17
603,crochet,17
604,Office,17
605,East,17
606,chapter,17
607,Burdett,17
608,government,17
609,Italy,17
610,several,17
611,curative,17
612,mass,17
613,original,17
614,Not,17
615,Africans,17
616,homoeopathy,17
617,political,16
618,economic,16
619,Wellington,16
620,Brown,16
621,church,16
622,advise,16
623,Leipzig,16
624,exasperation,16
625,Most,16
626,Whigs,16
627,households,16
628,agreed,16
629,resource,16
630,distinguished,16
631,assumption,16
632,1834,16
633,least,16
634,tomorrow,16
635,National,16
636,sedate,16
637,doubt,16
638,adding,16
639,families,16
640,damp,16
641,indifferent,16
642,beautiful,16
643,reported,16
644,sound,16
645,Dan,16
646,stage,16
647,1tho',16
648,members,16
649,outside,16
650,"Ko""then",16
651,stood,16
652,Nor,16
653,spite,16
654,fish,16
655,stop,16
656,Valet,16
657,Byron,16
658,line,16
659,Peel,16
660,grant,16
661,1960s,16
662,prophet,16
663,fifty,16
664,woman,16
665,Chambre,16
666,African,16
667,six,16
668,Nick,16
669,kind,16
670,age,16
671,dissolution,16
672,plan,16
673,business,16
674,Cloncurry,16
675,remained,15
676,Fanny,15
677,malady,15
678,pretty,15
679,book,15
680,alleviation,15
681,text,15
682,across,15
683,needed,15
684,relief,15
685,simple,15
686,unorthodox,15
687,subjected,15
688,Dr,15
689,author,15
690,cured,15
691,provide,15
692,knows,15
693,ten,15
694,Arthur,15
695,interest,15
696,indeed,15
697,Anglesey's,15
698,wrong,15
699,particular,15
700,remedies,15
701,Foreign,15
702,office,15
703,Ponsonby,15
704,building,15
705,April,15
706,sides,15
707,household,15
708,unceasing,15
709,sat,15
710,colour,15
711,pay,15
712,above,15
713,disciples,15
714,cities,15
715,Of,15
716,conventional,15
717,1830,15
718,frightful,15
719,average,15
720,South,15
721,cost,15
722,persevering,15
723,Committee,15
724,con-,15
725,sort,15
726,plans,15
727,subject,15
728,suffering,15
729,personal,15
730,2,15
731,ground,15
732,due,15
733,bottom,15
734,friends,14
735,low,14
736,Nato,14
737,report,14
738,terms,14
739,Ultratoryism,14
740,Steve,14
741,Giuseppe,14
742,6tic,14
743,TO,14
744,Only,14
745,appeared,14
746,Common,14
747,New,14
748,cut,14
749,express,14
750,revered,14
751,How,14
752,minutes,14
753,secret,14
754,talk,14
755,Macleod,14
756,join,14
757,douloureux,14
758,city,14
759,either,14
760,Mauro's,14
761,Some,14
762,irritated,14
763,James,14
764,slightest,14
765,working,14
766,decided,14
767,Senator,14
768,someone,14
769,infatuation,14
770,start,14
771,minds,14
772,3,14
773,physical,14
774,industrial,14
775,Africa,14
776,even-tempered,14
777,marriage,14
778,lives,14
779,flat,14
780,Mauro,14
781,Shamir,14
782,short,14
783,couples,14
784,trouble,14
785,1superceded,14
786,passed,14
787,door,14
788,information,14
789,giving,14
790,period,14
791,Powell,14
792,itself,14
793,hopes,13
794,Market,13
795,bar,13
796,solution,13
797,morning,13
798,gone,13
799,America,13
800,tax,13
801,Richardson,13
802,says,13
803,George,13
804,attempt,13
805,difficult,13
806,Philip,13
807,started,13
808,result,13
809,words,13
810,November,13
811,favourable,13
812,remains,13
813,fresh,13
814,hour,13
815,soldier,13
816,makes,13
817,stand,13
818,future,13
819,months,13
820,speak,13
821,lively,13
822,friend,13
823,ready,13
824,ring,13
825,wide,13
826,sure,13
827,train,13
828,modern,13
829,presence,13
830,Honey,13
831,Fig.,13
832,usually,13
833,showed,13
834,white,13
835,visit,13
836,telling,13
837,discuss,13
838,provided,13
839,Berlin,13
840,atmosphere,13
841,police,13
842,reason,13
843,Washington,13
844,trade,13
845,bit,13
846,order,13
847,4,13
848,former,13
849,Polaris,13
850,shall,13
851,French,13
852,sit,13
853,failed,13
854,fast,13
855,close,13
856,suitable,13
857,read,13
858,happened,13
859,Taste,13
860,seventeen,13
861,happen,13
862,basis,13
863,countries,13
864,1958,13
865,common,13
866,military,13
867,can't,13
868,attack,12
869,area,12
870,ones,12
871,Council,12
872,wife's,12
873,nor,12
874,hardly,12
875,thousand,12
876,social,12
877,quoted,12
878,getting,12
879,Radicalism,12
880,chief,12
881,useful,12
882,lace,12
883,received,12
884,let,12
885,touch,12
886,sick,12
887,feeling,12
888,in.,12
889,Ministry,12
890,Union,12
891,Gospel,12
892,suggested,12
893,hours,12
894,supply,12
895,arms,12
896,Neapolitan,12
897,Welensky,12
898,exactly,12
899,production,12
900,danger,12
901,moved,12
902,taking,12
903,Because,12
904,beginning,12
905,within,12
906,welcome,12
907,nations,12
908,group,12
909,technical,12
910,Morfydd,12
911,expected,12
912,Even,12
913,complete,12
914,act,12
915,front,12
916,black,12
917,opinion,12
918,panel,12
919,longer,12
920,run,12
921,poor,12
922,Vittoria,12
923,regard,12
924,majority,12
925,single,12
926,hard,12
927,waiting,12
928,AND,12
929,Yes,12
930,20,12
931,bear,12
932,slightly,12
933,truth,12
934,top,12
935,interested,12
936,dead,12
937,scheme,12
938,except,12
939,normal,12
940,Ps,12
941,speech,12
942,especially,11
943,During,11
944,using,11
945,produced,11
946,rare,11
947,hear,11
948,voice,11
949,mantis,11
950,brother-in-law,11
951,wait,11
952,quietly,11
953,built,11
954,size,11
955,Heather,11
956,firms,11
957,1959,11
958,firm,11
959,feet,11
960,various,11
961,filled,11
962,wish,11
963,hope,11
964,blood,11
965,wet,11
966,Do,11
967,everything,11
968,regarded,11
969,Colonial,11
970,shopping,11
971,streets,11
972,boat,11
973,workers,11
974,base,11
975,negotiations,11
976,reached,11
977,changes,11
978,drink,11
979,Service,11
980,floor,11
981,car,11
982,foods,11
983,Rev.,11
984,expenditure,11
985,agreement,11
986,Gaitskell,11
987,although,11
988,advantages,11
989,growing,11
990,following,11
991,suddenly,11
992,Lady,11
993,An,11
994,glass,11
995,keep,11
996,Bill,11
997,younger,11
998,cold,11
999,job,11
1000,payments,11
1001,father,11
1002,Earl,11
1003,times,11
1004,generally,11
1005,allowed,11
1006,weight,11
1007,paid,11
1008,gay,11
1009,ask,11
1010,completely,11
1011,couple,11
1012,dark,11
1013,proposed,11
1014,comes,11
1015,concerned,10
1016,Dai,10
1017,brief,10
1018,Orsini,10
1019,unity,10
1020,questions,10
1021,certainly,10
1022,director,10
1023,total,10
1024,managed,10
1025,theme,10
1026,son,10
1027,statement,10
1028,experience,10
1029,raised,10
1030,feels,10
1031,numbers,10
1032,member,10
1033,older,10
1034,chair,10
1035,opposition,10
1036,claimed,10
1037,eight,10
1038,sodium,10
1039,background,10
1040,increase,10
1041,faith,10
1042,figure,10
1043,coming,10
1044,died,10
1045,lot,10
1046,General,10
1047,material,10
1048,offices,10
1049,try,10
1050,apparent,10
1051,turn,10
1052,afternoon,10
1053,available,10
1054,sympathy,10
1055,splendid,10
1056,authority,10
1057,required,10
1058,thread,10
1059,sacred,10
1060,hold,10
1061,bases,10
1062,Chancellor,10
1063,weapons,10
1064,Richards,10
1065,wonder,10
1066,types,10
1067,greater,10
1068,Dinas,10
1069,Paris,10
1070,tradition,10
1071,inside,10
1072,walked,10
1073,private,10
1074,conductor,10
1075,suppose,10
1076,village,10
1077,Germany's,10
1078,Russell,10
1079,role,10
1080,distance,10
1081,herring,10
1082,Very,10
1083,hundred,10
1084,carrier,10
1085,Though,10
1086,final,10
1087,third,10
1088,quickly,10
1089,tools,10
1090,charges,10
1091,clay,10
1092,television,10
1093,Last,10
1094,qualities,10
1095,purpose,10
1096,centre,10
1097,century,10
1098,driven,10
1099,progress,10
1100,records,10
1101,seem,10
1102,played,10
1103,amount,10
1104,wanted,10
1105,space,10
1106,obvious,10
1107,serve,10
1108,proper,10
1109,cinema,10
1110,favour,10
1111,defence,10
1112,Cecil,10
1113,mouth,10
1114,fight,10
1115,leading,10
1116,direct,10
1117,afraid,9
1118,learned,9
1119,tea,9
1120,strength,9
1121,13,9
1122,Well,9
1123,decisions,9
1124,variety,9
1125,Although,9
1126,example,9
1127,jobs,9
1128,comically,9
1129,Their,9
1130,worked,9
1131,hair,9
1132,surroundings,9
1133,lost,9
1134,yourself,9
1135,Harry,9
1136,characters,9
1137,prevent,9
1138,paper,9
1139,wind,9
1140,higher,9
1141,possibility,9
1142,opens,9
1143,blow,9
1144,employment,9
1145,caught,9
1146,moving,9
1147,bound,9
1148,knowledge,9
1149,factories,9
1150,problem,9
1151,included,9
1152,However,9
1153,loved,9
1154,Joshua,9
1155,kept,9
1156,nose,9
1157,betrayed,9
1158,remember,9
1159,special,9
1160,centres,9
1161,demand,9
1162,First,9
1163,Sunday,9
1164,Just,9
1165,red,9
1166,scale,9
1167,call,9
1168,principle,9
1169,plane,9
1170,queer,9
1171,knowing,9
1172,actions,9
1173,person,9
1174,needs,9
1175,Congo,9
1176,road,9
1177,chap,9
1178,record,9
1179,State,9
1180,press,9
1181,obtained,9
1182,performance,9
1183,arose,9
1184,Soviet,9
1185,lay,9
1186,nature,9
1187,importance,9
1188,coach,9
1189,step,9
1190,sea,9
1191,Lucia,9
1192,rate,9
1193,standing,9
1194,lower,9
1195,type,9
1196,summer,9
1197,Purley,9
1198,aware,9
1199,apart,9
1200,apartheid,9
1201,My,9
1202,Prince,9
1203,taste,9
1204,bismuth-210,9
1205,Edwards,9
1206,leaders,9
1207,station,9
1208,content,9
1209,allowing,9
1210,dangerous,9
1211,Don't,9
1212,helped,9
1213,marry,9
1214,Why,9
1215,local,9
1216,nodded,9
1217,allow,8
1218,Robertson,8
1219,IN,8
1220,Thus,8
1221,crisis,8
1222,Roy's,8
1223,opportunity,8
1224,limited,8
1225,recent,8
1226,Fell,8
1227,European,8
1228,anyone,8
1229,cash,8
1230,Mrs.,8
1231,Premier,8
1232,larger,8
1233,attitude,8
1234,leaves,8
1235,conditions,8
1236,worth,8
1237,Scarborough,8
1238,directed,8
1239,drugs,8
1240,plants,8
1241,craft,8
1242,cent.,8
1243,levels,8
1244,smiled,8
1245,doesn't,8
1246,Catherine,8
1247,Charles,8
1248,similar,8
1249,Palace,8
1250,pounds,8
1251,true,8
1252,memory,8
1253,Doc,8
1254,sometimes,8
1255,actually,8
1256,affairs,8
1257,edge,8
1258,World,8
1259,financial,8
1260,create,8
1261,conception,8
1262,begin,8
1263,Fred,8
1264,value,8
1265,services,8
1266,establishment,8
1267,worse,8
1268,closed,8
1269,speed,8
1270,regular,8
1271,equally,8
1272,spoke,8
1273,interests,8
1274,based,8
1275,Where,8
1276,ensure,8
1277,opposed,8
1278,teach,8
1279,forms,8
1280,thinking,8
1281,learn,8
1282,sight,8
1283,lying,8
1284,instinct,8
1285,parts,8
1286,Here,8
1287,independent,8
1288,training,8
1289,population,8
1290,designed,8
1291,picture,8
1292,Belgium,8
1293,reasons,8
1294,land,8
1295,remain,8
1296,dinner,8
1297,Western,8
1298,ment,8
1299,works,8
1300,ways,8
1301,supporters,8
1302,breaking,8
1303,welfare,8
1304,flowers,8
1305,fixed,8
1306,altogether,8
1307,cigarette,8
1308,leaving,8
1309,command,8
1310,events,8
1311,factory,8
1312,Owen,8
1313,proof,8
1314,groups,8
1315,appointment,8
1316,practical,8
1317,man's,8
1318,unable,8
1319,reading,8
1320,developed,8
1321,activity,8
1322,river,8
1323,Health,8
1324,shows,8
1325,details,8
1326,derived,8
1327,empty,8
1328,accept,8
1329,calls,8
1330,OF,8
1331,carrying,8
1332,grow,8
1333,election,8
1334,clearly,8
1335,carry,8
1336,practice,8
1337,succeeded,8
1338,shares,8
1339,fell,8
1340,delicacy,8
1341,Admiralty,8
1342,rose,8
1343,design,8
1344,Lords,8
1345,previous,8
1346,construction,8
1347,MR.,8
1348,essential,8
1349,island,8
1350,including,8
1351,smaller,8
1352,Allen,8
1353,sun,8
1354,green,8
1355,correct,8
1356,avoid,8
1357,responsible,8
1358,Royal,8
1359,intimate,8
1360,fit,8
1361,isn't,8
1362,produce,8
1363,sharp,8
1364,spent,8
1365,below,8
1366,settled,8
1367,general,8
1368,cases,8
1369,charge,8
1370,Britain's,8
1371,else,8
1372,range,8
1373,error,8
1374,immediately,8
1375,rise,8
1376,resin,8
1377,intention,8
1378,soil,7
1379,soul,7
1380,girls,7
1381,behaviour,7
1382,sites,7
1383,lead-210,7
1384,directly,7
1385,U.S.,7
1386,sign,7
1387,lived,7
1388,wouldn't,7
1389,meant,7
1390,Piers,7
1391,endowed,7
1392,Maxwell,7
1393,books,7
1394,ahead,7
1395,Elizabeth,7
1396,commercial,7
1397,everywhere,7
1398,Hugh,7
1399,instead,7
1400,percentage,7
1401,shabby,7
1402,recovery,7
1403,successful,7
1404,increased,7
1405,disarmament,7
1406,forlorn,7
1407,won't,7
1408,gin,7
1409,feeding,7
1410,easier,7
1411,sorts,7
1412,King,7
1413,individual,7
1414,sir,7
1415,unfamiliar,7
1416,absolutely,7
1417,friendly,7
1418,beside,7
1419,net,7
1420,gift,7
1421,canals,7
1422,naturally,7
1423,upper,7
1424,spend,7
1425,enable,7
1426,suggest,7
1427,pictures,7
1428,check,7
1429,list,7
1430,stages,7
1431,thus,7
1432,reasonably,7
1433,seat,7
1434,pass,7
1435,rule,7
1436,Chinese,7
1437,forces,7
1438,Germans,7
1439,industries,7
1440,bed,7
1441,nearly,7
1442,York,7
1443,watched,7
1444,North,7
1445,Augusta,7
1446,smooth,7
1447,officials,7
1448,seeking,7
1449,churchyard,7
1450,Army,7
1451,nine,7
1452,strange,7
1453,deeply,7
1454,windows,7
1455,Chief,7
1456,junior,7
1457,freedom,7
1458,swimming,7
1459,visual,7
1460,team,7
1461,unless,7
1462,till,7
1463,remembered,7
1464,build,7
1465,degree,7
1466,marks,7
1467,realised,7
1468,Such,7
1469,slight,7
1470,sheet,7
1471,NOT,7
1472,committed,7
1473,task,7
1474,machine,7
1475,caused,7
1476,Once,7
1477,break,7
1478,consider,7
1479,international,7
1480,foreign,7
1481,shape,7
1482,impossible,7
1483,Llangrwl,7
1484,foreigners,7
1485,Let,7
1486,finally,7
1487,Conservative,7
1488,straight,7
1489,ambition,7
1490,financing,7
1491,showing,7
1492,lifted,7
1493,Many,7
1494,property,7
1495,thoroughly,7
1496,Play,7
1497,formal,7
1498,pavements,7
1499,research,7
1500,roll,7
1501,difference,7
1502,adjustment,7
1503,discussions,7
1504,supplied,7
1505,solid,7
1506,operation,7
1507,throughout,7
1508,hook,7
1509,results,7
1510,becomes,7
1511,animals,7
1512,chosen,7
1513,decision,7
1514,worn,7
1515,considerable,7
1516,sufficient,7
1517,week-end,7
1518,placing,7
1519,dear,7
1520,care,7
1521,talked,7
1522,fruit,7
1523,committee,7
1524,mission,7
1525,adequate,7
1526,fears,7
1527,screws,7
1528,garden,7
1529,impression,7
1530,contempt,7
1531,ancient,7
1532,wants,7
1533,native,7
1534,Tory,7
1535,Laos,7
1536,script,7
1537,believes,7
1538,appear,7
1539,Watkinson,7
1540,husband,7
1541,pressure,7
1542,Lancaster,7
1543,ended,7
1544,declared,7
1545,maternal,7
1546,September,7
1547,created,7
1548,States,7
1549,Home,7
1550,highly,7
1551,Vienna,7
1552,cause,7
1553,introduced,7
1554,sex,7
1555,confusion,7
1556,exchange,7
1557,Gamba,7
1558,codex,7
1559,Adenauer,7
1560,entirely,7
1561,broken,7
1562,instance,7
1563,editor,7
1564,frame,7
1565,separate,7
1566,October,7
1567,audience,7
1568,million,7
1569,10,7
1570,From,7
1571,reference,7
1572,accents,7
1573,St.,7
1574,Pericles,7
1575,rising,7
1576,court,7
1577,company,7
1578,recently,7
1579,destructive,7
1580,Weaver,7
1581,lady,7
1582,Church,7
1583,existence,7
1584,compared,7
1585,attractive,7
1586,Delaney,7
1587,head-stones,7
1588,Camp,7
1589,attention,7
1590,earlier,7
1591,fully,6
1592,moods,6
1593,sailor,6
1594,heat,6
1595,prices,6
1596,offered,6
1597,plant,6
1598,Defence,6
1599,wonderful,6
1600,longest,6
1601,definite,6
1602,surprised,6
1603,pushing,6
1604,Stonehouse's,6
1605,V,6
1606,housing,6
1607,befriended,6
1608,Database,6
1609,ineffectuality,6
1610,sails,6
1611,KENNEDY,6
1612,drew,6
1613,Tories,6
1614,issue,6
1615,modulate,6
1616,dishes,6
1617,board,6
1618,major,6
1619,meetings,6
1620,adult,6
1621,companies,6
1622,Mishnah,6
1623,play-grounds,6
1624,Perhaps,6
1625,law,6
1626,smoke,6
1627,fighting,6
1628,middle,6
1629,firmly,6
1630,Beryl,6
1631,rally,6
1632,specially,6
1633,glad,6
1634,catch,6
1635,Di,6
1636,Lucas's,6
1637,wives,6
1638,demanded,6
1639,rents,6
1640,explained,6
1641,flawed,6
1642,intelligence,6
1643,Education,6
1644,Captain,6
1645,defeat,6
1646,Leicester,6
1647,"3""",6
1648,consumption,6
1649,bad,6
1650,More,6
1651,PRESIDENT,6
1652,gaudy,6
1653,bought,6
1654,briefcase,6
1655,convinced,6
1656,sitting,6
1657,Yet,6
1658,murder,6
1659,brilliant,6
1660,explain,6
1661,deep,6
1662,key,6
1663,Square,6
1664,Dowd,6
1665,Federation,6
1666,glued,6
1667,b.,6
1668,unions,6
1669,organisations,6
1670,price,6
1671,darling,6
1672,addition,6
1673,foot,6
1674,square,6
1675,wild,6
1676,lavish,6
1677,argument,6
1678,atomic,6
1679,existing,6
1680,safe,6
1681,suicide,6
1682,Sam,6
1683,writes,6
1684,oddly,6
1685,putting,6
1686,employees,6
1687,dramatist,6
1688,100,6
1689,vision,6
1690,father-in-law,6
1691,delicate,6
1692,campaign,6
1693,Board,6
1694,strike,6
1695,chines,6
1696,shop,6
1697,conduct,6
1698,examine,6
1699,steps,6
1700,music,6
1701,occurred,6
1702,tray,6
1703,debate,6
1704,seeing,6
1705,separation,6
1706,pregnant,6
1707,otherwise,6
1708,daughter,6
1709,accepted,6
1710,breakfast,6
1711,settle,6
1712,Bryan,6
1713,canned,6
1714,Department,6
1715,milk,6
1716,gesture,6
1717,autumn,6
1718,William,6
1719,stopped,6
1720,desire,6
1721,sister,6
1722,involved,6
1723,naval,6
1724,served,6
1725,brain,6
1726,migrate,6
1727,Lee,6
1728,expulsion,6
1729,1956,6
1730,submarine,6
1731,acts,6
1732,unnecessary,6
1733,judge,6
1734,gets,6
1735,north,6
1736,wasn't,6
1737,containing,6
1738,shock,6
1739,hot,6
1740,Theatre,6
1741,monuments,6
1742,chemical,6
1743,failure,6
1744,orders,6
1745,stepped,6
1746,357million,6
1747,C,6
1748,movements,6
1749,Jack,6
1750,hospital,6
1751,strewn,6
1752,broke,6
1753,move,6
1754,tonight,6
1755,employed,6
1756,Roberts,6
1757,sordid,6
1758,Communist,6
1759,reserves,6
1760,scenes,6
1761,meat,6
1762,Irene,6
1763,attempting,6
1764,odd,6
1765,leader,6
1766,provision,6
1767,filmed,6
1768,dish,6
1769,Commission,6
1770,treatments,6
1771,thoughts,6
1772,houses,6
1773,Lester,6
1774,expensive,6
1775,sugya,6
1776,associated,6
1777,avoided,6
1778,Johnstone,6
1779,Parliament,6
1780,holiday,6
1781,suitably,6
1782,loop,6
1783,anybody,6
1784,sweet,6
1785,gold,6
1786,Healey,6
1787,duties,6
1788,unbridled,6
1789,Wicki,6
1790,improve,6
1791,Tony,6
1792,Iain,6
1793,factor,6
1794,prove,6
1795,saved,6
1796,orbit,6
1797,enigma,6
1798,THAT,6
1799,spending,6
1800,trees,6
1801,Sentence,6
1802,date,6
1803,lake,6
1804,6,6
1805,comment,6
1806,views,6
1807,eat,6
1808,rocket,6
1809,protest,6
1810,Two,6
1811,Bawley,6
1812,inevitability,6
1813,boys,6
1814,perfect,6
1815,version,6
1816,removed,6
1817,Senate,6
1818,Pinkie,6
1819,necessity,6
1820,advantage,6
1821,restrained,6
1822,Bishop,6
1823,figures,6
1824,Chequers,6
1825,moulds,6
1826,parties,6
1827,appealing,6
1828,blocks,6
1829,happy,6
1830,tiredness,6
1831,lunch,6
1832,appearance,6
1833,society,6
1834,block,6
1835,Lily-yo,6
1836,lover,6
1837,Press,6
1838,premises,6
1839,ought,6
1840,Arguably,6
1841,grounds,6
1842,energy,6
